Model,SoldPrice,Kilometers,Year,Owner,ConditionScore,Brand,Age,OwnerRank,FuelType_Diesel,FuelType_Petrol,Transmission_AUTOMATIC,Transmission_MANUAL,FeaturesVector
elitei201.2 sportsplus,8380.79,51372,2019,First Owner,9.6,hyundai,7,1,0,1,1,0,"[0.07142857142857145, 0.059018583151650116, 0.8999999999999999, 0.0, 1, 0, 0, 1]"
wagon r1.0 vxi+(o),5296.79,21187,2017,First Owner,9.0,maruti,9,1,0,1,1,0,"[0.21428571428571425, 0.02371316821214361, 0.75, 0.0, 1, 0, 0, 1]"
brio1.2 smti,4485.59,23011,2013,Second Owner,8.2,honda,13,2,0,1,0,1,"[0.49999999999999994, 0.02584658139251995, 0.5499999999999998, 0.5, 1, 0, 1, 0]"
swift,5872.79,28652,2014,First Owner,9.4,maruti,12,1,1,0,0,1,"[0.42857142857142855, 0.03244448915047113, 0.8500000000000001, 0.0, 0, 1, 1, 0]"
alto k10,4153.19,54173,2018,First Owner,9.0,maruti,8,1,0,1,0,1,"[0.14285714285714285, 0.06229472915945392, 0.75, 0.0, 1, 0, 1, 0]"
wagon r1.0,2828.39,96735,2013,Second Owner,8.2,maruti,13,2,0,1,0,1,"[0.49999999999999994, 0.11207670930374003, 0.5499999999999998, 0.5, 1, 0, 1, 0]"
alto,2015.99,48254,2010,First Owner,9.0,maruti,16,1,0,1,0,1,"[0.7142857142857142, 0.0553716630330024, 0.75, 0.0, 1, 0, 1, 0]"
rexton,5704.79,72550,2013,First Owner,8.0,ssangyong,13,1,1,0,0,1,"[0.49999999999999994, 0.08378910087862938, 0.5, 0.0, 0, 1, 1, 0]"
baleno alphaddis,7073.99,88453,2016,First Owner,9.4,maruti,10,1,1,0,0,1,"[0.28571428571428564, 0.1023897970450356, 0.8500000000000001, 0.0, 0, 1, 1, 0]"
swift dzire vdibs,4000.79,105059,2011,Second Owner,8.4,maruti,15,2,1,0,0,1,"[0.6428571428571428, 0.12181274620804522, 0.6000000000000001, 0.5, 0, 1, 1, 0]"
zen estilo,2200.79,71023,2008,Second Owner,8.2,maruti,18,2,0,1,0,1,"[0.857142857142857, 0.08200306912071563, 0.5499999999999998, 0.5, 1, 0, 1, 0]"
elitei20 sportz,6080.39,91244,2015,First Owner,8.4,hyundai,11,1,1,0,0,1,"[0.35714285714285715, 0.10565424670864874, 0.6000000000000001, 0.0, 0, 1, 1, 0]"
kwid rxt1.0 easy-rat,5499.59,5726,2019,First Owner,10.0,renault,7,1,0,1,1,0,"[0.07142857142857145, 0.005629450458964546, 1.0, 0.0, 1, 0, 0, 1]"
alto k10 vxi,4336.79,15293,2017,First Owner,9.2,maruti,9,1,0,1,0,1,"[0.21428571428571425, 0.016819342946168745, 0.7999999999999998, 0.0, 1, 0, 1, 0]"
swift dzire vdibs,4975.19,95770,2014,First Owner,8.6,maruti,12,1,1,0,0,1,"[0.42857142857142855, 0.11094801208934135, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
creta1.6 sxplus,9104.39,111100,2016,First Owner,9.4,hyundai,10,1,1,0,0,1,"[0.28571428571428564, 0.12887850773362278, 0.8500000000000001, 0.0, 0, 1, 1, 0]"
creta1.6 sx,11819.99,76226,2016,First Owner,9.0,hyundai,10,1,1,0,1,0,"[0.28571428571428564, 0.08808867700311591, 0.75, 0.0, 0, 1, 0, 1]"
swift,4042.79,64993,2011,First Owner,8.0,maruti,15,1,1,0,0,1,"[0.6428571428571428, 0.0749501735737478, 0.5, 0.0, 0, 1, 1, 0]"
series,18070.79,51266,2015,Second Owner,9.4,bmw3,11,2,1,0,1,0,"[0.35714285714285715, 0.05889460190322912, 0.8500000000000001, 0.5, 0, 1, 0, 1]"
swift zxiplus,8897.99,15415,2019,First Owner,9.8,maruti,7,1,0,1,1,0,"[0.07142857142857145, 0.01696203834529479, 0.9500000000000002, 0.0, 1, 0, 0, 1]"
city vx(o),6499.19,84851,2014,First Owner,8.6,honda,12,1,0,1,1,0,"[0.42857142857142855, 0.09817677386755996, 0.6499999999999999, 0.0, 1, 0, 0, 1]"
rapid1.5 tdimtambition,7041.59,83967,2016,First Owner,9.2,skoda,10,1,1,0,0,1,"[0.28571428571428564, 0.09714281704110564, 0.7999999999999998, 0.0, 0, 1, 1, 0]"
city vmt,6309.59,94066,2014,First Owner,8.6,honda,12,1,0,1,0,1,"[0.42857142857142855, 0.10895495503925293, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
alto k10,3681.59,70048,2015,First Owner,8.2,maruti,11,1,0,1,0,1,"[0.35714285714285715, 0.0808626755621263, 0.5499999999999998, 0.0, 1, 0, 1, 0]"
sunny xl,3057.59,116831,2012,First Owner,8.4,nissan,14,1,1,0,0,1,"[0.5714285714285714, 0.13558168258928988, 0.6000000000000001, 0.0, 0, 1, 1, 0]"
