Model,SoldPrice,Kilometers,Year,Owner,ConditionScore,Brand,Age,OwnerRank,FuelType_Diesel,FuelType_Petrol,Transmission_AUTOMATIC,Transmission_MANUAL,FeaturesVector
polo trendline1.2 l,3073.19,42069,2012,First Owner,8.2,volkswagen,14,1,0,1,0,1,"[0.5714285714285714, 0.048137474151079336, 0.5499999999999998, 0.0, 1, 0, 1, 0]"
celerio vxi,4346.39,123057,2016,Second Owner,8.4,maruti,10,2,0,1,0,1,"[0.28571428571428564, 0.14286382648239465, 0.6000000000000001, 0.5, 1, 0, 1, 0]"
grandi10 magna1.2 kappa,4966.79,34558,2016,First Owner,9.8,hyundai,10,1,0,1,0,1,"[0.28571428571428564, 0.039352350029474785, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
omnie8,2024.39,147413,2015,First Owner,7.8,maruti,11,1,0,1,1,0,"[0.35714285714285715, 0.17135144239316558, 0.44999999999999996, 0.0, 1, 0, 0, 1]"
wagon r1.0,3211.19,32808,2012,First Owner,8.0,maruti,14,1,0,1,0,1,"[0.5714285714285714, 0.03730548979610933, 0.5, 0.0, 1, 0, 1, 0]"
series,6620.17,94020,2008,First Owner,8.4,bmw5,18,1,0,1,1,0,"[0.857142857142857, 0.1089011518559759, 0.6000000000000001, 0.0, 1, 0, 0, 1]"
swift dzire vdibs,3802.06,75435,2012,First Owner,8.8,maruti,14,1,1,0,0,1,"[0.5714285714285714, 0.08716349617763472, 0.7000000000000002, 0.0, 0, 1, 1, 0]"
city vmt,5744.39,40028,2013,Second Owner,8.6,honda,13,2,0,1,0,1,"[0.49999999999999994, 0.045750250301765674, 0.6499999999999999, 0.5, 1, 0, 1, 0]"
sx4,2246.39,9961,2008,First Owner,8.6,maruti,18,1,0,1,0,1,"[0.857142857142857, 0.010582852223708958, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
ecosport1.5 titaniumtdci,5281.19,151247,2014,First Owner,8.2,ford,12,1,1,0,0,1,"[0.42857142857142855, 0.17583582075586454, 0.5499999999999998, 0.0, 0, 1, 1, 0]"
baleno deltaddis,6859.19,63898,2016,First Owner,9.0,maruti,10,1,1,0,0,1,"[0.28571428571428564, 0.07366942388487055, 0.75, 0.0, 0, 1, 1, 0]"
city vmt,4429.19,74017,2012,Third Owner,8.8,honda,14,3,0,1,0,1,"[0.5714285714285714, 0.08550495457139916, 0.7000000000000002, 1.0, 1, 0, 1, 0]"
baleno alpha1.2,6292.79,76914,2015,First Owner,9.2,maruti,11,1,0,1,0,1,"[0.35714285714285715, 0.0888933854834333, 0.7999999999999998, 0.0, 1, 0, 1, 0]"
celerio vxi,6427.19,9878,2019,First Owner,9.4,maruti,7,1,0,1,0,1,"[0.07142857142857145, 0.010485772566926482, 0.8500000000000001, 0.0, 1, 0, 1, 0]"
magna1.2,2625.59,86164,2009,Second Owner,8.4,hyundaii20,17,2,0,1,0,1,"[0.7857142857142856, 0.09971250385979358, 0.6000000000000001, 0.5, 1, 0, 1, 0]"
ritz,4132.79,64475,2015,First Owner,9.2,maruti,11,1,1,0,0,1,"[0.35714285714285715, 0.07434430294467162, 0.7999999999999998, 0.0, 0, 1, 1, 0]"
alto k10,3872.39,8604,2018,First Owner,9.8,maruti,8,1,0,1,0,1,"[0.14285714285714285, 0.008995658317036427, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
ritz,3255.59,54237,2013,First Owner,8.8,maruti,13,1,1,0,0,1,"[0.49999999999999994, 0.062369585762274145, 0.7000000000000002, 0.0, 0, 1, 1, 0]"
figo1.4 exi,2117.99,108709,2014,First Owner,8.6,ford,12,1,1,0,0,1,"[0.42857142857142855, 0.126081911837636, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
swift vdi,4479.59,154513,2015,Second Owner,9.6,maruti,11,2,1,0,0,1,"[0.35714285714285715, 0.17965584676853402, 0.8999999999999999, 0.5, 0, 1, 1, 0]"
grandi10 magna1.2 kappa,4600.79,35915,2015,First Owner,8.8,hyundai,11,1,0,1,0,1,"[0.35714285714285715, 0.040939543936147314, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
corolla altis1.8,2725.19,91612,2009,Third Owner,8.4,toyota,17,3,0,1,1,0,"[0.7857142857142856, 0.10608467217486503, 0.6000000000000001, 1.0, 1, 0, 0, 1]"
tiagojtp,7240.08,14039,2019,First Owner,9.6,tata,7,1,0,1,1,0,"[0.07142857142857145, 0.01535262138466001, 0.8999999999999999, 0.0, 1, 0, 0, 1]"
magna1.2,2060.39,222973,2010,First Owner,8.4,hyundaii20,16,1,0,1,0,1,"[0.7142857142857142, 0.2597290190977908, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
swift vxi,2560.96,79169,2009,First Owner,8.4,maruti,17,1,0,1,0,1,"[0.7857142857142856, 0.09153091109842708, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
swift dzire lxi1.2 bs,3932.39,59387,2011,First Owner,8.0,maruti,15,1,0,1,0,1,"[0.6428571428571428, 0.06839320302046392, 0.5, 0.0, 1, 0, 1, 0]"
sportz1.2,3038.39,74934,2010,First Owner,8.4,hyundaii20,16,1,0,1,0,1,"[0.7142857142857142, 0.08657750933368266, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
verna fluidic1.6 sx,5977.19,120745,2014,First Owner,8.6,hyundai,12,1,1,0,0,1,"[0.42857142857142855, 0.1401596317055141, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
wagon r1.0,2395.19,65611,2011,Second Owner,8.0,maruti,15,2,0,1,0,1,"[0.6428571428571428, 0.07567300764473056, 0.5, 0.5, 1, 0, 1, 0]"
city vmt,5079.59,136859,2013,First Owner,8.6,honda,13,1,0,1,0,1,"[0.49999999999999994, 0.15900712073434325, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
baleno alphaddis,7569.36,69278,2016,First Owner,9.0,maruti,10,1,1,0,0,1,"[0.28571428571428564, 0.07996205705944551, 0.75, 0.0, 0, 1, 1, 0]"
wagon r1.0,3848.39,70993,2015,First Owner,8.0,maruti,11,1,0,1,0,1,"[0.35714285714285715, 0.08196798008814365, 0.5, 0.0, 1, 0, 1, 0]"
figo1.2 titanium,1699.19,49821,2010,Third Owner,8.4,ford,16,3,0,1,0,1,"[0.7142857142857142, 0.05720448016767879, 0.6000000000000001, 1.0, 1, 0, 1, 0]"
kwid,4031.99,14665,2019,First Owner,8.8,renault,7,1,0,1,0,1,"[0.07142857142857145, 0.01608481253099531, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
baleno zeta1.2,7983.78,20333,2017,First Owner,9.8,maruti,9,1,0,1,0,1,"[0.21428571428571425, 0.022714300418261266, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
asta,6007.19,56580,2014,First Owner,8.4,hyundaii20,12,1,0,1,0,1,"[0.42857142857142855, 0.06511003920614573, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
amaze1.5 smti,3076.79,125008,2013,First Owner,9.4,honda,13,1,1,0,0,1,"[0.49999999999999994, 0.14514578323399238, 0.8500000000000001, 0.0, 0, 1, 1, 0]"
swift dzire vdibs,5021.99,107099,2012,Second Owner,8.4,maruti,14,2,1,0,0,1,"[0.5714285714285714, 0.1241988004229398, 0.6000000000000001, 0.5, 0, 1, 1, 0]"
baleno delta1.2,5439.59,90025,2015,First Owner,8.6,maruti,11,1,0,1,0,1,"[0.35714285714285715, 0.10422846235180731, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
etios liva,4135.19,89919,2012,First Owner,8.6,toyota,14,1,1,0,0,1,"[0.5714285714285714, 0.10410448110338633, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
swift dzire vdibs,5399.99,42679,2013,First Owner,9.2,maruti,13,1,1,0,0,1,"[0.49999999999999994, 0.04885095114670958, 0.7999999999999998, 0.0, 0, 1, 1, 0]"
swift dzire vdibs,5295.59,70192,2012,Second Owner,9.0,maruti,14,2,1,0,0,1,"[0.5714285714285714, 0.0810311029184718, 0.75, 0.5, 0, 1, 1, 0]"
ertiga,7265.99,24825,2015,First Owner,9.4,maruti,11,1,1,0,0,1,"[0.35714285714285715, 0.027968298228705633, 0.8500000000000001, 0.0, 0, 1, 1, 0]"
swift,5197.19,79144,2014,First Owner,9.2,maruti,12,1,1,0,0,1,"[0.42857142857142855, 0.09150167023795043, 0.7999999999999998, 0.0, 0, 1, 1, 0]"
swift lxi,4400.39,73411,2015,First Owner,8.8,maruti,11,1,0,1,0,1,"[0.35714285714285715, 0.08479615611344518, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
tuv300,6337.19,50455,2017,First Owner,9.2,mahindra,9,1,1,0,0,1,"[0.21428571428571425, 0.05794602838936662, 0.7999999999999998, 0.0, 0, 1, 1, 0]"
alto,2080.79,29879,2008,First Owner,8.0,maruti,18,1,0,1,0,1,"[0.857142857142857, 0.03387963058266508, 0.5, 0.0, 1, 0, 1, 0]"
omnie8,4255.19,4110,2017,First Owner,8.0,maruti,9,1,0,1,1,0,"[0.21428571428571425, 0.0037393212377539275, 0.5, 0.0, 1, 0, 0, 1]"
creta1.6 sxplus,10733.99,56895,2016,Second Owner,9.6,hyundai,10,2,0,1,1,0,"[0.28571428571428564, 0.0654784740481515, 0.8999999999999999, 0.5, 1, 0, 0, 1]"
creta1.6 e+,11111.99,9294,2019,First Owner,9.8,hyundai,7,1,0,1,0,1,"[0.07142857142857145, 0.00980270606619195, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
sportz1.2,3502.79,63467,2013,Second Owner,9.0,hyundaii20,13,2,0,1,0,1,"[0.49999999999999994, 0.07316531145025311, 0.75, 0.5, 1, 0, 1, 0]"
fabia elegance1.2,2735.99,64274,2010,First Owner,8.2,skoda,16,1,0,1,0,1,"[0.7142857142857142, 0.07410920642643935, 0.5499999999999998, 0.0, 1, 0, 1, 0]"
swift,4661.99,72754,2014,First Owner,8.4,maruti,12,1,1,0,0,1,"[0.42857142857142855, 0.08402770630011884, 0.6000000000000001, 0.0, 0, 1, 1, 0]"
swift lxi,1310.39,98656,2009,First Owner,8.4,maruti,17,1,0,1,0,1,"[0.7857142857142856, 0.11432357702276577, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
kwid rxt,3619.19,40290,2016,First Owner,9.0,renault,10,1,0,1,0,1,"[0.28571428571428564, 0.046056694519560966, 0.75, 0.0, 1, 0, 1, 0]"
grandi10 magna1.2 kappa,4025.99,42170,2014,Second Owner,8.4,hyundai,12,2,0,1,0,1,"[0.42857142857142855, 0.048255607227405, 0.6000000000000001, 0.5, 1, 0, 1, 0]"
amaze1.2 vxmti,3861.59,45278,2013,Second Owner,8.4,honda,13,2,0,1,0,1,"[0.49999999999999994, 0.05189083100186206, 0.6000000000000001, 0.5, 1, 0, 1, 0]"
kwid rxt1.0 easy-r,4381.19,12255,2016,First Owner,9.6,renault,10,1,0,1,1,0,"[0.28571428571428564, 0.013265993581046309, 0.8999999999999999, 0.0, 1, 0, 0, 1]"
swift,4456.79,60422,2013,Second Owner,8.2,maruti,13,2,1,0,0,1,"[0.49999999999999994, 0.06960377464419722, 0.5499999999999998, 0.5, 0, 1, 1, 0]"
magna1.2,2983.19,210904,2013,First Owner,8.0,hyundaii10,13,1,0,1,0,1,"[0.49999999999999994, 0.2456127012940835, 0.5, 0.0, 1, 0, 1, 0]"
alto k10 lxi,4676.44,23963,2016,First Owner,9.6,maruti,10,1,0,1,0,1,"[0.28571428571428564, 0.02696007335947076, 0.8999999999999999, 0.0, 1, 0, 1, 0]"
dzire,8300.39,11404,2017,First Owner,9.8,maruti,9,1,0,1,0,1,"[0.21428571428571425, 0.012270634690421162, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
kwid,4559.99,38933,2016,First Owner,9.2,renault,10,1,0,1,0,1,"[0.28571428571428564, 0.04446950061288843, 0.7999999999999998, 0.0, 1, 0, 1, 0]"
duster85 ps,3864.82,103665,2013,First Owner,8.8,renault,13,1,1,0,0,1,"[0.49999999999999994, 0.12018227582786724, 0.7000000000000002, 0.0, 0, 1, 1, 0]"
xuv500,14009.47,49189,2018,First Owner,9.0,mahindra,8,1,1,0,0,1,"[0.14285714285714285, 0.05646527121482909, 0.75, 0.0, 0, 1, 1, 0]"
polo highline1.5 l,7111.19,59325,2015,First Owner,8.8,volkswagen,11,1,1,0,0,1,"[0.35714285714285715, 0.06832068568648184, 0.7000000000000002, 0.0, 0, 1, 1, 0]"
swift vdi,5153.99,66476,2015,First Owner,9.0,maruti,11,1,1,0,0,1,"[0.35714285714285715, 0.07668474141722263, 0.75, 0.0, 0, 1, 1, 0]"
celerio,2786.39,148559,2015,First Owner,8.6,maruti,11,1,1,0,0,1,"[0.35714285714285715, 0.17269184343741517, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
sportz1.2,3662.39,114748,2012,First Owner,8.6,hyundaii10,14,1,0,1,0,1,"[0.5714285714285714, 0.13314533409437546, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
xuv500 w8,10677.59,84778,2015,Second Owner,9.2,mahindra,11,2,1,0,0,1,"[0.35714285714285715, 0.09809139055496814, 0.7999999999999998, 0.5, 0, 1, 1, 0]"
wagon r1.0,3005.99,98462,2012,First Owner,8.6,maruti,14,1,0,1,0,1,"[0.5714285714285714, 0.11409666794546697, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
polo trendline1.2 l,2473.0,73625,2012,First Owner,8.6,volkswagen,14,1,1,0,0,1,"[0.5714285714285714, 0.0850464578791253, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
eon era,2236.79,129837,2013,First Owner,7.6,hyundai,13,1,0,1,0,1,"[0.49999999999999994, 0.15079394784366196, 0.3999999999999999, 0.0, 1, 0, 1, 0]"
amaze1.5 sxmti,4450.79,113188,2014,First Owner,8.6,honda,12,1,1,0,0,1,"[0.42857142857142855, 0.13132070440063254, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
magna1.1,2654.39,33582,2013,Second Owner,9.0,hyundaii10,13,2,0,1,0,1,"[0.49999999999999994, 0.03821078683646639, 0.75, 0.5, 1, 0, 1, 0]"
wagon r1.0,3722.39,48335,2013,First Owner,8.4,maruti,13,1,0,1,0,1,"[0.49999999999999994, 0.05546640342094675, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
ciaz delta1.5 shvsvvt,9836.39,17483,2018,First Owner,9.8,maruti,8,1,0,1,1,0,"[0.14285714285714285, 0.01938084232392323, 0.9500000000000002, 0.0, 1, 0, 0, 1]"
sdrive,12141.59,63035,2013,Second Owner,8.6,bmwx1,13,2,1,0,1,0,"[0.49999999999999994, 0.07266002938121661, 0.6499999999999999, 0.5, 0, 1, 0, 1]"
verna fluidic1.6 sxvtvt,3246.0,71292,2011,Third Owner,7.8,hyundai,15,3,0,1,0,1,"[0.6428571428571428, 0.08231770077944438, 0.44999999999999996, 1.0, 1, 0, 1, 0]"
swift vdi,5036.39,46856,2015,First Owner,9.0,maruti,11,1,1,0,0,1,"[0.35714285714285715, 0.05373651411514817, 0.75, 0.0, 0, 1, 1, 0]"
santro xing gl,3058.79,20500,2014,First Owner,8.8,hyundai,12,1,0,1,0,1,"[0.42857142857142855, 0.022909629366245285, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
sportz1.2,3715.19,78129,2011,First Owner,8.4,hyundaii20,15,1,0,1,0,1,"[0.6428571428571428, 0.09031449130259846, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
magna1.1,3179.4,57657,2013,First Owner,7.6,hyundaii10,13,1,0,1,0,1,"[0.49999999999999994, 0.06636973547547978, 0.3999999999999999, 0.0, 1, 0, 1, 0]"
tiago xz1.05,4039.19,125598,2017,First Owner,8.4,tata,9,1,1,0,0,1,"[0.21428571428571425, 0.14583586754124128, 0.6000000000000001, 0.0, 0, 1, 1, 0]"
ritz vxiabs,3391.19,45651,2014,First Owner,8.6,maruti,12,1,0,1,1,0,"[0.42857142857142855, 0.05232710464017366, 0.6499999999999999, 0.0, 1, 0, 0, 1]"
city svmt,10343.99,28213,2019,First Owner,9.8,honda,7,1,0,1,0,1,"[0.07142857142857145, 0.031931019640501164, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
alto800,3295.19,24679,2012,Third Owner,8.6,maruti,14,3,0,1,0,1,"[0.5714285714285714, 0.027797531603522, 0.6499999999999999, 1.0, 1, 0, 1, 0]"
alto k10,2575.19,58304,2015,Second Owner,8.2,maruti,11,2,0,1,0,1,"[0.35714285714285715, 0.06712648894461547, 0.5499999999999998, 0.5, 1, 0, 1, 0]"
baleno alpha1.2,6683.99,16232,2016,Second Owner,8.0,maruti,10,2,0,1,0,1,"[0.28571428571428564, 0.017917629665671696, 0.5, 0.5, 1, 0, 1, 0]"
swift dzire vxi1.2 bs,5515.19,70649,2015,First Owner,9.8,maruti,11,1,0,1,0,1,"[0.35714285714285715, 0.08156562584798495, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
grandi10 sportz1.2 kappa,5236.79,247836,2016,First Owner,9.2,hyundai,10,1,0,1,0,1,"[0.28571428571428564, 0.2888096396590282, 0.7999999999999998, 0.0, 1, 0, 1, 0]"
swift dzire vxi1.2 bs,4617.59,95093,2013,First Owner,8.2,maruti,13,1,0,1,0,1,"[0.49999999999999994, 0.11015616958763369, 0.5499999999999998, 0.0, 1, 0, 1, 0]"
corolla h31.8,1729.19,98229,2007,First Owner,8.4,toyota,19,1,0,1,0,1,"[0.9285714285714284, 0.11382414312582459, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
nexonxz+,7892.39,21127,2018,First Owner,8.8,tata,8,1,0,1,0,1,"[0.14285714285714285, 0.02364299014699965, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
swift dzire vdibs,6196.79,32957,2014,First Owner,8.8,maruti,12,1,1,0,0,1,"[0.42857142857142855, 0.037479765324550156, 0.7000000000000002, 0.0, 0, 1, 1, 0]"
creta1.6 crdisxplus,14266.26,108963,2016,First Owner,8.0,hyundai,10,1,1,0,1,0,"[0.28571428571428564, 0.12637899898007876, 0.5, 0.0, 0, 1, 0, 1]"
grandi10 sports1.2,5237.99,6587,2016,First Owner,9.2,hyundai,10,1,0,1,0,1,"[0.28571428571428564, 0.006636505693780352, 0.7999999999999998, 0.0, 1, 0, 1, 0]"
kwid,3657.92,9495,2016,First Owner,9.6,renault,10,1,0,1,0,1,"[0.28571428571428564, 0.010037802584424212, 0.8999999999999999, 0.0, 1, 0, 1, 0]"
sportz1.2,2394.0,56973,2010,Second Owner,8.4,hyundaii10,16,2,0,1,1,0,"[0.7142857142857142, 0.06556970553283865, 0.6000000000000001, 0.5, 1, 0, 0, 1]"
swift,3380.39,163408,2009,First Owner,8.2,maruti,17,1,1,0,0,1,"[0.7857142857142856, 0.19005974492612587, 0.5499999999999998, 0.0, 0, 1, 1, 0]"
baleno deltaddis,7165.19,32865,2016,First Owner,9.2,maruti,10,1,1,0,0,1,"[0.28571428571428564, 0.03737215895799609, 0.7999999999999998, 0.0, 0, 1, 1, 0]"
wagon r1.0,4900.79,31796,2015,First Owner,8.6,maruti,11,1,0,1,0,1,"[0.35714285714285715, 0.03612181976401456, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
city smt,4787.99,75713,2010,Second Owner,8.6,honda,16,2,0,1,0,1,"[0.7142857142857142, 0.08748865454613507, 0.6499999999999999, 0.5, 1, 0, 1, 0]"
amaze1.2 smti,6634.79,14358,2018,First Owner,9.2,honda,8,1,0,1,0,1,"[0.14285714285714285, 0.015725734764342057, 0.7999999999999998, 0.0, 1, 0, 1, 0]"
grandi10 magna1.2 kappa,5768.39,10172,2017,First Owner,9.6,hyundai,9,1,0,1,0,1,"[0.21428571428571425, 0.010829645086131878, 0.8999999999999999, 0.0, 1, 0, 1, 0]"
grand punto active,3493.19,46437,2014,Second Owner,8.4,fiat,12,2,1,0,0,1,"[0.42857142857142855, 0.053246437293559525, 0.6000000000000001, 0.5, 0, 1, 1, 0]"
eon magna,3609.59,26754,2014,First Owner,8.8,hyundai,12,1,0,1,0,1,"[0.42857142857142855, 0.0302245230230839, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
amaze1.5 emti,4911.59,123934,2015,Second Owner,8.6,honda,11,2,1,0,0,1,"[0.35714285714285715, 0.1438895958679155, 0.6499999999999999, 0.5, 0, 1, 1, 0]"
duster85 ps,3670.37,93733,2013,Second Owner,8.6,renault,13,2,1,0,0,1,"[0.49999999999999994, 0.10856546677770396, 0.6499999999999999, 0.5, 0, 1, 1, 0]"
swift dzire vdibs,4028.4,89383,2014,First Owner,8.6,maruti,12,1,1,0,0,1,"[0.42857142857142855, 0.10347755705476697, 0.6499999999999999, 0.0, 0, 1, 1, 0]"
alto,1341.59,98526,2008,Third Owner,8.0,maruti,18,3,0,1,0,1,"[0.857142857142857, 0.11417152454828719, 0.5, 1.0, 1, 0, 1, 0]"
alto,2055.59,13966,2011,First Owner,8.8,maruti,15,1,0,1,0,1,"[0.6428571428571428, 0.015267238072068196, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
swift ldibs,2958.0,123852,2012,First Owner,7.8,maruti,14,1,1,0,0,1,"[0.5714285714285714, 0.1437936858455521, 0.44999999999999996, 0.0, 0, 1, 1, 0]"
eeco7,3471.59,27741,2018,First Owner,8.8,maruti,8,1,0,1,0,1,"[0.14285714285714285, 0.03137895219470202, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
swift,8520.77,12889,2019,First Owner,9.8,maruti,7,1,0,1,0,1,"[0.07142857142857145, 0.014007541802734138, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
xcent sx,4849.19,92011,2015,First Owner,9.0,hyundai,11,1,0,1,0,1,"[0.35714285714285715, 0.10655135630807235, 0.75, 0.0, 1, 0, 1, 0]"
alto,1603.19,72725,2009,Second Owner,8.0,maruti,17,2,0,1,0,1,"[0.7857142857142856, 0.08399378690196592, 0.5, 0.5, 1, 0, 1, 0]"
alto800,3376.79,11110,2017,First Owner,9.4,maruti,9,1,0,1,0,1,"[0.21428571428571425, 0.011926762171215764, 0.8500000000000001, 0.0, 1, 0, 1, 0]"
duster85 ps,5506.79,94775,2014,First Owner,7.8,renault,12,1,1,0,0,1,"[0.42857142857142855, 0.10978422584237071, 0.44999999999999996, 0.0, 0, 1, 1, 0]"
xcent s1.2,5414.93,78612,2015,First Owner,8.6,hyundai,11,1,0,1,0,1,"[0.35714285714285715, 0.09087942472700733, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
duster85 ps,6093.59,171979,2015,First Owner,7.6,renault,11,1,1,0,0,1,"[0.35714285714285715, 0.20008468153194037, 0.3999999999999999, 0.0, 0, 1, 1, 0]"
swift dzire vdibs,3567.59,160205,2010,Second Owner,8.2,maruti,16,2,1,0,0,1,"[0.7142857142857142, 0.18631340588185755, 0.5499999999999998, 0.5, 0, 1, 1, 0]"
alto,2479.19,45476,2008,First Owner,8.4,maruti,18,1,0,1,0,1,"[0.857142857142857, 0.05212241861683712, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
kwid climber1.0,3788.39,34616,2017,First Owner,9.2,renault,9,1,0,1,1,0,"[0.21428571428571425, 0.03942018882578061, 0.7999999999999998, 0.0, 1, 0, 0, 1]"
alto800,3122.88,67833,2015,Second Owner,8.4,maruti,11,2,0,1,0,1,"[0.35714285714285715, 0.07827193532389516, 0.6000000000000001, 0.5, 1, 0, 1, 0]"
kwid rxt1.0 easy-r,4883.99,24005,2017,First Owner,9.6,renault,9,1,0,1,1,0,"[0.21428571428571425, 0.02700919800507153, 0.8999999999999999, 0.0, 1, 0, 0, 1]"
eon magna,2620.79,56350,2013,First Owner,9.0,hyundai,13,1,0,1,0,1,"[0.49999999999999994, 0.06484102328976056, 0.75, 0.0, 1, 0, 1, 0]"
tiago xz1.2,6313.19,25034,2018,First Owner,9.6,tata,8,1,0,1,0,1,"[0.14285714285714285, 0.02821275182229042, 0.8999999999999999, 0.0, 1, 0, 1, 0]"
alto800,3597.59,38472,2015,First Owner,8.6,maruti,11,1,0,1,0,1,"[0.35714285714285715, 0.043930299145699014, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
grandi10 magna1.2 kappa,5151.59,45391,2016,First Owner,9.2,hyundai,10,1,0,1,0,1,"[0.28571428571428564, 0.05202299969121651, 0.7999999999999998, 0.0, 1, 0, 1, 0]"
sportzo1.4,4258.79,98304,2012,First Owner,9.0,hyundaii20,14,1,1,0,0,1,"[0.5714285714285714, 0.11391186570725455, 0.75, 0.0, 0, 1, 1, 0]"
nexonxm,10015.19,1424,2019,First Owner,9.8,tata,7,1,0,1,0,1,"[0.07142857142857145, 0.0005976831881427142, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
vitara brezza,7010.39,59715,2016,First Owner,9.2,maruti,10,1,1,0,0,1,"[0.28571428571428564, 0.06877684310991757, 0.7999999999999998, 0.0, 0, 1, 1, 0]"
alto800,4126.79,23598,2016,First Owner,9.8,maruti,10,1,0,1,0,1,"[0.28571428571428564, 0.026533156796511678, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
santro xing gl,3008.39,39601,2012,First Owner,8.8,hyundai,14,1,0,1,0,1,"[0.5714285714285714, 0.045250816404824507, 0.7000000000000002, 0.0, 1, 0, 1, 0]"
city1.5 emt,4754.39,74247,2012,First Owner,8.4,honda,14,1,0,1,1,0,"[0.5714285714285714, 0.08577397048778435, 0.6000000000000001, 0.0, 1, 0, 0, 1]"
etios vx,3710.39,52194,2012,Second Owner,8.6,toyota,14,2,1,0,0,1,"[0.5714285714285714, 0.05998002264412235, 0.6499999999999999, 0.5, 0, 1, 1, 0]"
amaze1.2 smti,7581.59,10129,2018,First Owner,9.8,honda,8,1,0,1,0,1,"[0.14285714285714285, 0.010779350806112042, 0.9500000000000002, 0.0, 1, 0, 1, 0]"
alto800,3050.39,12702,2016,Second Owner,9.6,maruti,10,2,0,1,0,1,"[0.28571428571428564, 0.0137888201663688, 0.8999999999999999, 0.5, 1, 0, 1, 0]"
santro xing xoerlxeuro,2693.99,69390,2007,Second Owner,8.0,hyundai,19,2,0,1,0,1,"[0.9285714285714284, 0.08009305611438089, 0.5, 0.5, 1, 0, 1, 0]"
ertiga vdi,8839.19,25046,2017,First Owner,9.6,maruti,9,1,1,0,0,1,"[0.21428571428571425, 0.028226787435319214, 0.8999999999999999, 0.0, 0, 1, 1, 0]"
baleno delta1.2,6475.19,27670,2017,First Owner,9.0,maruti,9,1,0,1,0,1,"[0.21428571428571425, 0.031295908150948334, 0.75, 0.0, 1, 0, 1, 0]"
accent executive,2039.46,136284,2012,Second Owner,8.2,hyundai,14,2,0,1,0,1,"[0.5714285714285714, 0.15833458094338032, 0.5499999999999998, 0.5, 1, 0, 1, 0]"
alto k10,3843.59,65190,2014,First Owner,8.4,maruti,12,1,0,1,0,1,"[0.42857142857142855, 0.07518059155430379, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
city smt,5043.6,65403,2011,First Owner,9.6,honda,15,1,0,1,0,1,"[0.6428571428571428, 0.07542972368556485, 0.8999999999999999, 0.0, 1, 0, 1, 0]"
figo1.2 titanium,3194.23,81196,2010,First Owner,8.4,ford,16,1,0,1,0,1,"[0.7142857142857142, 0.09390176006587381, 0.6000000000000001, 0.0, 1, 0, 1, 0]"
scross sigma,6064.79,85657,2015,First Owner,9.2,maruti,11,1,1,0,0,1,"[0.35714285714285715, 0.09911949920932714, 0.7999999999999998, 0.0, 0, 1, 1, 0]"
kwid rxt1.0 easy-rat,4610.39,22247,2017,First Owner,9.6,renault,9,1,0,1,1,0,"[0.21428571428571425, 0.024952980696353544, 0.8999999999999999, 0.0, 1, 0, 0, 1]"
city vmt,7679.99,48559,2014,First Owner,8.6,honda,12,1,0,1,0,1,"[0.42857142857142855, 0.055728401530817526, 0.6499999999999999, 0.0, 1, 0, 1, 0]"
